month,CPI_VALUE,CPI_SERIES,CPI_GROWTH_RATE
1961-01-01,21.071,All Items,
1961-02-01,21.094,All Items,
1961-03-01,21.112,All Items,
1961-04-01,20.77,All Items,
1961-05-01,20.655,All Items,
1961-06-01,20.801,All Items,
1961-07-01,20.847,All Items,
1961-08-01,21.054,All Items,
1961-09-01,20.948,All Items,
1961-10-01,21.007,All Items,
1961-11-01,21.057,All Items,
1961-12-01,21.024,All Items,
1962-01-01,21.157,All Items,0.004081438944520732
1962-02-01,21.277,All Items,0.008675452735374956
1962-03-01,20.972,All Items,-0.006631299734747853
1962-04-01,20.868,All Items,0.004718343765045763
1962-05-01,20.884,All Items,0.011086903897361333
1962-06-01,20.98,All Items,0.008605355511754231
1962-07-01,21.029,All Items,0.008730272940950634
1962-08-01,20.966,All Items,-0.004179728317659226
1962-09-01,21.056,All Items,0.005155623448539259
1962-10-01,21.009,All Items,9.520635978477188e-05
1962-11-01,21.145,All Items,0.0041791328299378705
1962-12-01,21.205,All Items,0.008609208523592038
1963-01-01,21.613,All Items,0.021553150257597853
1963-02-01,21.771,All Items,0.023217558866381438
1963-03-01,21.361,All Items,0.01854854091169167
1963-04-01,21.148,All Items,0.013417672992141139
1963-05-01,21.255,All Items,0.017764796016088713
1963-06-01,21.321,All Items,0.016253574833174467
1963-07-01,21.263,All Items,0.011127490608207724
1963-08-01,21.315,All Items,0.016645998282934338
1963-09-01,21.409,All Items,0.01676481762917925
1963-10-01,21.917,All Items,0.04321957256413933
1963-11-01,21.757,All Items,0.028943012532513634
1963-12-01,21.798,All Items,0.027965102570148614
1964-01-01,21.93,All Items,0.014667098505529053
1964-02-01,22.012,All Items,0.011069771714666388
1964-03-01,21.933,All Items,0.026777772576190184
1964-04-01,21.639,All Items,0.02321732551541511
1964-05-01,21.648,All Items,0.01848976711362038
1964-06-01,21.583,All Items,0.012288354204774476
1964-07-01,21.685,All Items,0.019846682029816876
1964-08-01,22.044,All Items,0.034201266713582035
1964-09-01,21.985,All Items,0.026904572843196917
1964-10-01,21.844,All Items,-0.003330747821325919
1964-11-01,21.831,All Items,0.0034012042101392304
1964-12-01,22.046,All Items,0.011377190567942064
1965-01-01,22.099,All Items,0.00770633834929324
1965-02-01,22.03,All Items,0.0008177357804834973
1965-03-01,21.887,All Items,-0.0020972963114940235
1965-04-01,21.567,All Items,-0.0033273256619991143
1965-05-01,21.737,All Items,0.004111234294161159
1965-06-01,21.815,All Items,0.010749200759857525
1965-07-01,21.681,All Items,-0.00018445930366606245
1965-08-01,21.814,All Items,-0.01043367809834883
1965-09-01,21.884,All Items,-0.004594041391858039
1965-10-01,21.943,All Items,0.004532136971250766
1965-11-01,22.098,All Items,0.012230314690119481
1965-12-01,22.263,All Items,0.009843055429556546
1966-01-01,22.534,All Items,0.019684148604009133
1966-02-01,22.326,All Items,0.013436223331820152
1966-03-01,22.148,All Items,0.011924886919175703
1966-04-01,22.232,All Items,0.03083414475819546
1966-05-01,22.187,All Items,0.020702028798822436
1966-06-01,22.245,All Items,0.019711207884483217
1966-07-01,22.331,All Items,0.029980166966468325
1966-08-01,22.486,All Items,0.030805904465022405
1966-09-01,22.352,All Items,0.021385487113873225
1966-10-01,22.224,All Items,0.01280590621154798
1966-11-01,22.471,All Items,0.016879355597791745
1966-12-01,22.609,All Items,0.015541481381664557
1967-01-01,22.92,All Items,0.017129670719801204
1967-02-01,22.931,All Items,0.027098450237391436
1967-03-01,22.807,All Items,0.02975437962795735
1967-04-01,22.448,All Items,0.009715725080964521
1967-05-01,22.653,All Items,0.02100329021499059
1967-06-01,22.913,All Items,0.03002922004944919
1967-07-01,23.226,All Items,0.040078814204469015
1967-08-01,23.13,All Items,0.02864004269323117
1967-09-01,23.317,All Items,0.04317287043664986
1967-10-01,23.226,All Items,0.04508639308855278
1967-11-01,23.449,All Items,0.04352276267188837
1967-12-01,23.659,All Items,0.046441682515812266
1968-01-01,23.681,All Items,0.03320244328097721
1968-02-01,23.412,All Items,0.02097597139243801
1968-03-01,23.327,All Items,0.02280001753847527
1968-04-01,23.281,All Items,0.03710798289379902
1968-05-01,23.024,All Items,0.016377521741049783
1968-06-01,23.022,All Items,0.004757124776327837
1968-07-01,23.138,All Items,-0.0037888573150778315
1968-08-01,23.324,All Items,0.008387375702550992
1968-09-01,23.188,All Items,-0.005532444139469073
1968-10-01,23.152,All Items,-0.003186084560406366
1968-11-01,23.101,All Items,-0.014840718154292443
1968-12-01,23.031,All Items,-0.026543809966608878
1969-01-01,23.062,All Items,-0.0261390988556226
1969-02-01,23.029,All Items,-0.016359132069024396
1969-03-01,23.159,All Items,-0.0072019548163073654
1969-04-01,23.083,All Items,-0.008504789313173888
1969-05-01,23.309,All Items,0.012378387769284238
1969-06-01,23.191,All Items,0.007340804447919513
1969-07-01,23.112,All Items,-0.0011236926268477498
1969-08-01,23.195,All Items,-0.005530783742068279
1969-09-01,23.232,All Items,0.00189753320683117
1969-10-01,23.061,All Items,-0.003930545957152809
1969-11-01,23.297,All Items,0.008484481191290527
1969-12-01,23.619,All Items,0.025530806304546072
1970-01-01,23.287,All Items,0.009756309079871572
1970-02-01,23.386,All Items,0.015502192887229205
1970-03-01,23.102,All Items,-0.002461246167796527
1970-04-01,23.14,All Items,0.002469349737902471
1970-05-01,23.155,All Items,-0.006606890042472835
1970-06-01,23.12,All Items,-0.0030615324910524544
1970-07-01,23.349,All Items,0.01025441329179655
1970-08-01,23.33,All Items,0.005820219874973054
1970-09-01,23.291,All Items,0.0025396005509641384
1970-10-01,23.316,All Items,0.011057629764537502
1970-11-01,23.263,All Items,-0.0014594153753701988
1970-12-01,23.42,All Items,-0.008425420212540669
1971-01-01,24.111,All Items,0.035384549319362746
1971-02-01,23.686,All Items,0.012828187804669433
1971-03-01,23.575,All Items,0.020474417799324796
1971-04-01,23.293,All Items,0.006611927398444184
1971-05-01,23.541,All Items,0.01667026560138196
1971-06-01,23.608,All Items,0.02110726643598615
1971-07-01,23.729,All Items,0.016274786928776264
1971-08-01,23.615,All Items,0.012216030861551763
1971-09-01,23.796,All Items,0.021682194839208302
1971-10-01,23.654,All Items,0.014496483101732682
1971-11-01,23.787,All Items,0.02252503976271325
1971-12-01,24.003,All Items,0.024893253629376444
1972-01-01,24.035,All Items,-0.0031520882584712417
1972-02-01,24.026,All Items,0.014354470995524782
1972-03-01,23.981,All Items,0.017221633085896082
1972-04-01,23.704,All Items,0.017644785987206424
1972-05-01,23.798,All Items,0.01091712331676642
1972-06-01,23.881,All Items,0.01156387665198233
1972-07-01,24.025,All Items,0.012474187702810946
1972-08-01,24.237,All Items,0.02633919119203898
1972-09-01,24.409,All Items,0.025760632038998033
1972-10-01,24.372,All Items,0.0303542741185423
1972-11-01,24.61,All Items,0.034598730398957445
1972-12-01,25.412,All Items,0.058700995708869774
1973-01-01,25.338,All Items,0.05421260661535254
1973-02-01,26.214,All Items,0.09106800965620576
1973-03-01,26.316,All Items,0.09736875026062286
1973-04-01,26.486,All Items,0.11736415794802557
1973-05-01,27.663,All Items,0.16240860576519034
1973-06-01,28.59,All Items,0.19718604748544877
1973-07-01,29.95,All Items,0.24661810613943813
1973-08-01,30.29,All Items,0.2497421298015432
1973-09-01,30.296,All Items,0.24118153140235155
1973-10-01,31.328,All Items,0.28540948629574925
1973-11-01,32.677,All Items,0.3277935798455913
1973-12-01,32.33,All Items,0.2722335904297182
1974-01-01,33.738,All Items,0.331517878285579
1974-02-01,34.728,All Items,0.3247882810711835
1974-03-01,35.333,All Items,0.3426432588539292
1974-04-01,34.94,All Items,0.31918749528052537
1974-05-01,34.964,All Items,0.26392654448179864
1974-06-01,35.098,All Items,0.22763203917453656
1974-07-01,35.372,All Items,0.18103505843071788
1974-08-01,35.612,All Items,0.1757015516672169
1974-09-01,35.992,All Items,0.1880116186955374
1974-10-01,36.326,All Items,0.15953779366700727
1974-11-01,36.407,All Items,0.11414756556599426
1974-12-01,36.683,All Items,0.13464274667491494
1975-01-01,36.846,All Items,0.09212164325093353
1975-02-01,36.919,All Items,0.06309030177378472
1975-03-01,36.215,All Items,0.024962499646223213
1975-04-01,35.968,All Items,0.029421866056096313
1975-05-01,36.11,All Items,0.032776570186477505
1975-06-01,36.213,All Items,0.03176819191976765
1975-07-01,36.31,All Items,0.02651814994911228
1975-08-01,36.461,All Items,0.023840278557789363
1975-09-01,36.472,All Items,0.013336296954878923
1975-10-01,36.114,All Items,-0.005836040301712364
1975-11-01,36.187,All Items,-0.00604279396819285
1975-12-01,36.339,All Items,-0.00937764086906745
1976-01-01,36.327,All Items,-0.014085653802312303
1976-02-01,36.32,All Items,-0.016224708144857547
1976-03-01,35.856,All Items,-0.009913019467071682
1976-04-01,35.508,All Items,-0.012789145907473376
1976-05-01,35.651,All Items,-0.012711160343395034
1976-06-01,35.468,All Items,-0.020572722502968488
1976-07-01,35.442,All Items,-0.023905260258881955
1976-08-01,35.395,All Items,-0.029236718685718865
1976-09-01,35.331,All Items,-0.031284272866856755
1976-10-01,35.295,All Items,-0.022678185745140245
1976-11-01,35.504,All Items,-0.018874181335838847
1976-12-01,35.785,All Items,-0.015245328710201234
1977-01-01,36.258,All Items,-0.0018994136592616062
1977-02-01,36.501,All Items,0.004983480176211419
1977-03-01,36.255,All Items,0.011127844712182089
1977-04-01,35.952,All Items,0.012504224400134989
1977-05-01,36.239,All Items,0.016493225996465632
1977-06-01,36.37,All Items,0.02543137476034718
1977-07-01,36.739,All Items,0.036595000282151124
1977-08-01,37.29,All Items,0.053538635400480095
1977-09-01,37.532,All Items,0.0622965667544082
1977-10-01,37.002,All Items,0.048363790905227466
1977-11-01,37.311,All Items,0.05089567372690418
1977-12-01,38.071,All Items,0.06388151460108982
