month,sora_3m_mean
2015-01-01,0.1283
2015-02-01,0.1598
2015-03-01,0.2155
2015-04-01,0.2512
2015-05-01,0.2572
2015-06-01,0.2236
2015-07-01,0.2267
2015-08-01,0.2162
2015-09-01,0.2328
2015-10-01,0.2089
2015-11-01,0.2776
2015-12-01,0.3209
2016-01-01,0.3818
2016-02-01,0.3314
2016-03-01,0.3096
2016-04-01,0.2762
2016-05-01,0.3010
2016-06-01,0.2496
2016-07-01,0.2017
2016-08-01,0.1623
2016-09-01,0.1399
2016-10-01,0.1242
2016-11-01,0.0843
2016-12-01,0.1020
2017-01-01,0.1500
2017-02-01,0.2056
2017-03-01,0.2514
2017-04-01,0.3031
2017-05-01,0.3786
2017-06-01,0.4366
2017-07-01,0.5574
2017-08-01,0.6304
2017-09-01,0.7126
2017-10-01,0.6860
2017-11-01,0.7476
2017-12-01,0.7780
2018-01-01,0.7910
2018-02-01,0.7036
2018-03-01,0.7286
2018-04-01,0.6910
2018-05-01,0.8248
2018-06-01,0.8771
2018-07-01,1.0105
2018-08-01,1.1332
2018-09-01,1.1662
2018-10-01,1.2166
2018-11-01,1.2093
2018-12-01,1.3466
2019-01-01,1.4839
2019-02-01,1.5849
2019-03-01,1.5686
2019-04-01,1.5946
2019-05-01,1.6570
2019-06-01,1.7312
2019-07-01,1.6890
2019-08-01,1.6298
2019-09-01,1.5591
2019-10-01,1.4884
2019-11-01,1.3568
2019-12-01,1.2777
2020-01-01,1.2458
2020-02-01,1.1999
2020-03-01,1.0370
2020-04-01,0.7474
2020-05-01,0.4092
2020-06-01,0.1894
2020-07-01,0.0963
2020-08-01,0.0896
2020-09-01,0.1015
2020-10-01,0.1092
2020-11-01,0.1149
2020-12-01,0.1199
2021-01-01,0.1667
2021-02-01,0.1797
2021-03-01,0.2130
2021-04-01,0.1883
2021-05-01,0.1820
2021-06-01,0.1555
2021-07-01,0.1338
2021-08-01,0.1288
2021-09-01,0.1322
2021-10-01,0.1407
2021-11-01,0.1555
2021-12-01,0.1702
2022-01-01,0.1935
2022-02-01,0.2215
2022-03-01,0.2469
2022-04-01,0.2968
2022-05-01,0.4311
2022-06-01,0.6177
2022-07-01,1.0136
2022-08-01,1.4117
2022-09-01,1.8183
2022-10-01,2.2568
2022-11-01,2.6652
2022-12-01,3.0758
2023-01-01,3.0412
2023-02-01,3.2050
2023-03-01,3.3330
2023-04-01,3.5990
2023-05-01,3.6105
2023-06-01,3.6408
2023-07-01,3.6867
2023-08-01,3.6918
2023-09-01,3.7009
2023-10-01,3.7147
2023-11-01,3.7540
2023-12-01,3.7375
2024-01-01,3.6914
2024-02-01,3.6405
2024-03-01,3.6392
2024-04-01,3.6531
2024-05-01,3.6753
2024-06-01,3.6673
2024-07-01,3.6358
2024-08-01,3.6049
2024-09-01,3.5341
2024-10-01,3.4605
2024-11-01,3.2954
2024-12-01,3.1476
2025-01-01,2.9584
2025-02-01,2.8266
2025-03-01,2.6277
2025-04-01,2.4778
2025-05-01,2.3141
2025-06-01,2.1789
2025-07-01,1.9373
2025-08-01,1.7276
2025-09-01,1.5121
2025-10-01,1.4348
